kritik dan saran,teks_bersih,klaster,top_keywords,sentimen,skor_sentimen,makna,skor_konstruktif
acnya kurang dingin,ac kurang dingin,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",negatif,-1,bermakna,1
Semoga pelatihnya di perluas lagi lingkupnya di Kota Parepare,latih luas lingkup kota parepare,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,0
lumayan dinginn dan lumayan bersih,dingin bersih,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
Pencahayaan ruangan kurang,cahaya ruang kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
"Untuk anak JGD kursi nya kekecilan, susah mouse bergerak selebihnya bagus. Terimakasih",anak jgd kursi kecil susah mouse gerak lebih bagus,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,0
semua ok kecuali AC kerna panas,kecuali ac panas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Pencahayaannya kurang baik,cahaya kurang baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Semoga tingkat selanjutnya tetap di adakan segera mungkin di Kota Parepare,tingkat adakan kota parepare,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Bagus nya pake meja,bagus pakai meja,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
ACnya belum di cuci,ac cuci,6,"dingin, ac, ac dingin, kurang dingin, ac kurang, kurang, ruang, dingin ruang, dingin ac, tidak dingin",netral,0,bermakna,0
"Meja tidak sesuai untuk kebetuhan desain. Tidak ada ruang untuk ""mouse"" digerakkan.",meja tidak sesuai kebetuhan desain tidak ruang mouse gerak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,3
"kan ini pelatihan JGD, nggk cocok dong di kursi kuliah soalnya nggk ada tempat mouse",latih jgd nggk cocok kursi kuliah nggk mouse,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Untuk AC di ruangan ITH kelas OKM A selalu mati-mati dan bikin ruangan jadi sangat panas dan itu mengganggu/ mengurangi kenyamanan kita,ac ruang ith kelas okm a matimati bikin ruang sangat panas ganggu kurang nyaman,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-4,bermakna,2
