komentar bermakna,klaster,sentimen,makna
acnya kurang dingin,6,negatif,bermakna
Semoga pelatihnya di perluas lagi lingkupnya di Kota Parepare,4,negatif,bermakna
lumayan dinginn dan lumayan bersih,6,netral,bermakna
Pencahayaan ruangan kurang,7,negatif,bermakna
"Untuk anak JGD kursi nya kekecilan, susah mouse bergerak selebihnya bagus. Terimakasih",7,negatif,bermakna
semua ok kecuali AC kerna panas,7,netral,bermakna
Pencahayaannya kurang baik,7,negatif,bermakna
Semoga tingkat selanjutnya tetap di adakan segera mungkin di Kota Parepare,7,netral,bermakna
Bagus nya pake meja,7,netral,bermakna
ACnya belum di cuci,6,netral,bermakna
"Meja tidak sesuai untuk kebetuhan desain. Tidak ada ruang untuk ""mouse"" digerakkan.",7,negatif,bermakna
"kan ini pelatihan JGD, nggk cocok dong di kursi kuliah soalnya nggk ada tempat mouse",7,netral,bermakna
Untuk AC di ruangan ITH kelas OKM A selalu mati-mati dan bikin ruangan jadi sangat panas dan itu mengganggu/ mengurangi kenyamanan kita,7,negatif,bermakna
Di sarankan AC nya lebih dingin,6,positif,bermakna
"ruangan nya nyaman, bersih tapi ac nya dingin sekali",6,netral,bermakna
Meja Kursi tidak muat bagi laptop yang 15inch,7,negatif,bermakna
Jangan lupa perbanyak pelatihan di pare pare heheh,4,netral,bermakna
Jangan lupa perbanyak latihan di parepare kak☺,4,netral,bermakna
Terus tingkatkan fasilitas pelatihan,4,positif,bermakna
SAKIT Leher di bawa lcd,7,negatif,bermakna
"Kelas kurang terang, Bangku nya tidak bisa pake Mouse.",7,negatif,bermakna
Ac ruangan kadang tiba tiba mati,7,netral,bermakna
Kursi mejanya kurang besar,7,negatif,bermakna
Ruangan yang digunakan pelatihan sudah bagus,4,negatif,bermakna
Semoga Pelatihan Ini Terus di Adakan,4,netral,bermakna
"Tv kurang besar jdi tidak kelihatan semisal di belkang karna buram,",7,negatif,bermakna
"Led buram, materi presentasi tidak terbaca bagi yang duduk dibelakang",7,negatif,bermakna
"Mungkin d setiap ruangan bisa d sediakan proyektor karena ketika menggunakan tv LCD ,bagian barisan belakang agak kesulitan melihat materi yang di berikan",7,netral,bermakna
Ruangan terkadang panas karna AC nya mati,7,netral,bermakna
"Saran : Dengan lebih memperbanyak pelatihan seperti dan jika bisa ke beberapa daerah juga 
 Kritik: tidak ada, sejauh ini saya merasa nyaman",4,positif,bermakna
Sebaiknya semua posisi duduk peserta mengarah satu arah ke pemateri dan screen proyektor,7,positif,bermakna
AC nya masih kurang dingin,6,negatif,bermakna
Tidak ada meja untuk tempat mouse jadi mungkin kedepan nya bagusnya mejanya di adakan,7,negatif,bermakna
Semoga pelatihanya bisaaa terus terlaksana dengan baik,7,netral,bermakna
"- Tidak diberikan Akses Wifi untuk memudahkan pembelajaran mengenai jaringan 
 - Ruangan yang sdikit panas ketika siang hari",7,netral,bermakna
Fasilitas seperti lcd terkadang sering mati nyala,7,positif,bermakna
Fasilitas pelatihan seperti lcdnya sering mati2,4,netral,bermakna
mungkin untuk kedepannya lebih baik lagi,1,positif,bermakna
"Sejauh ini sudah sangat baik, untuk kedepannya lebih di lengkapi segala bentuk fasilitas yang akan digunakan",3,positif,bermakna
AC kadang mati nyala hehe,7,positif,bermakna
"AC nya tidak berasa, panas dalam ruangan",7,negatif,bermakna
Proyektor trlalu kcil shingga agak sulit di lhat bagi kami yang ada di blakng,7,netral,bermakna
ruangannya agak panas😁,7,negatif,bermakna
Fasilitas sudah lengkap dan memadai,4,negatif,bermakna
Kurang Terang,7,negatif,bermakna
ACnya panas,7,netral,bermakna
Fasilitas ruangan yang kurang memadai seperti terbatasnya meja sehingga sulit untuk memaksimalkan praktek. Dan akses toilet sulit,7,negatif,bermakna
Ruangan sudah bagus tapi kurang dingin,6,negatif,bermakna
"Pelatihannya aman, Yang tidak aman, laptopku di hari pertama :(, sorry curhat min",7,negatif,bermakna
Kalau bisa Penataan kursi dan meja di perbaiki lagi agar peserta leluasa dan nyaman dalam proses belajar,7,positif,bermakna
"Ruangan JGD A lumayan bagus, hanya saja mungkin kedepannya pencahayaan didalam ruangan perlu ditambah",7,netral,bermakna
"Pertama tama terima kasih atas ilmunya semoga bisa bermanfaat untuk banyak orang, saran mungkin materinya bisa di tambah .",7,positif,bermakna
